url,address,building_area,surface_area,bedroom,bathroom,parking_area,tenure,price
https://www.rumah123.com/properti/bandung/hos4572045/,"Kota Baru Parahyangan, Bandung Barat",350.0,350.0,4,4,1,SHM - Sertifikat Hak Milik,5000000000.0
https://www.rumah123.com/properti/cimahi/hos7725439/,"Cimahi Tengah, Cimahi",70.0,122.0,2,1,0,SHM - Sertifikat Hak Milik,1375000000.0
https://www.rumah123.com/properti/cimahi/hos9064724/,"Cimahi Utara, Cimahi",200.0,132.0,4,2,1,SHM - Sertifikat Hak Milik,1650000000.0
https://www.rumah123.com/properti/bandung/hos7302965/,"Cimahi Utara, Cimahi",75.0,93.0,2,1,1,SHM - Sertifikat Hak Milik,625000000.0
https://www.rumah123.com/properti/cimahi/hos8972101/,"Cimahi Utara, Cimahi",65.0,120.0,3,2,1,SHM - Sertifikat Hak Milik,1000000000.0
https://www.rumah123.com/properti/bandung/hos4462031/,"Gunung Batu, Bandung",520.0,300.0,7,5,2,SHM - Sertifikat Hak Milik,4988000000.0
https://www.rumah123.com/properti/bandung/hos9078007/,"Padalarang, Bandung Barat",51.0,60.0,3,2,1,SHM - Sertifikat Hak Milik,560000000.0
https://www.rumah123.com/properti/bandung/hos9093343/,"Sariwangi, Bandung Barat",70.0,110.0,2,2,0,SHM - Sertifikat Hak Milik,1200000000.0
https://www.rumah123.com/properti/cimahi/hos8723926/,"Cimahi Utara, Cimahi",45.0,105.0,2,1,0,HGB - Hak Guna Bangunan,957000000.0
https://www.rumah123.com/properti/cimahi/hos5221917/,"Cimahi Tengah, Cimahi",33.0,60.0,2,1,1,SHM - Sertifikat Hak Milik,370000000.0
https://www.rumah123.com/properti/bandung-barat/hos8974538/,"Cisarua, Bandung Barat",36.0,78.0,2,1,1,SHM - Sertifikat Hak Milik,470000000.0
https://www.rumah123.com/properti/bandung/hos8882416/,"Cimahi Utara, Cimahi",105.0,210.0,2,2,0,SHM - Sertifikat Hak Milik,1600000000.0
https://www.rumah123.com/properti/bandung-barat/hos7597027/,"Cisarua, Bandung Barat",98.0,120.0,2,2,1,SHM - Sertifikat Hak Milik,1750000000.0
https://www.rumah123.com/properti/bandung/hos2936574/,"Sariwangi, Bandung Barat",150.0,197.0,3,3,0,SHM - Sertifikat Hak Milik,1600000000.0
